,value_daily,value_weekly,factor,value,Open,High,Low,Close,Volume
2017-03-01,3,,5.0,15.0,11.73,11.92,11.62,11.76,8451100
2017-03-02,3,,5.0,15.0,11.67,11.80,11.55,11.72,4981100
2017-03-03,2,,5.0,10.0,11.68,11.83,11.59,11.59,5169100
2017-03-06,3,,3.0,9.0,11.67,11.71,11.10,11.12,6364600
2017-03-07,3,,3.0,9.0,11.16,11.21,10.77,11.11,7159500
2017-03-08,3,,3.0,9.0,11.17,11.31,10.90,11.25,7514700
2017-03-09,3,,3.0,9.0,11.25,11.48,11.16,11.25,7706400
2017-03-10,3,,3.0,9.0,11.32,11.46,11.16,11.37,3209200
2017-03-13,3,,26.5,79.5,11.25,11.66,11.25,11.62,3431000
2017-03-14,3,,26.5,79.5,11.70,12.00,11.60,11.65,6354900
2017-03-15,3,,26.5,79.5,11.73,12.00,11.55,11.9,4820200
2017-03-16,2,,26.5,53.0,11.95,12.14,11.80,11.99,4461400
2017-03-17,58,,26.5,1537.0,11.48,11.57,10.64,10.72,20696800
2017-03-20,37,,1.1956521739130435,44.23913043478261,10.00,10.99,10.30,10.8,27554900
2017-03-21,25,,1.1956521739130435,29.891304347826086,10.89,11.05,10.59,10.76,8633200
2017-03-22,19,,1.1956521739130435,22.717391304347824,10.63,10.98,10.27,10.95,11105100
2017-03-23,17,,1.1956521739130435,20.32608695652174,10.64,11.05,10.60,10.83,6386400
2017-03-24,12,,1.1956521739130435,14.347826086956522,10.66,10.95,10.57,10.95,4835100
2017-03-27,6,,2.2,13.200000000000001,11.30,11.46,10.62,10.76,9350900
2017-03-28,5,,2.2,11.0,10.81,10.97,10.48,10.55,12003500
2017-03-29,5,,2.2,11.0,10.55,10.63,10.35,10.48,9119600
2017-03-30,4,,2.2,8.8,10.56,10.56,10.25,10.3,7573800
2017-03-31,3,,2.2,6.6000000000000005,10.33,10.43,10.21,10.21,5805000
2017-04-03,3,,3.5,10.5,10.20,10.23,9.95,10.17,14013200
2017-04-04,2,,3.5,7.0,10.21,10.25,9.97,10.03,6751300
2017-04-05,2,,3.5,7.0,10.10,10.10,9.65,9.76,10249000
2017-04-06,2,,3.5,7.0,9.76,9.83,9.46,9.5,6840600
2017-04-07,2,,3.5,7.0,9.55,10.00,9.36,9.9,12503000
2017-04-10,2,,5.0,10.0,9.92,10.12,9.77,10.07,6637600
2017-04-11,2,,5.0,10.0,10.10,10.61,9.90,10.45,11591400
2017-04-12,2,,5.0,10.0,10.37,10.39,10.05,10.15,17224400
2017-04-13,2,,5.0,10.0,10.10,10.33,10.06,10.2,4951800
2017-04-17,2,,5.0,10.0,10.19,10.45,10.12,10.34,6496300
2017-04-18,2,,5.0,10.0,10.25,10.39,10.16,10.2,5091900
2017-04-19,2,,5.0,10.0,10.19,10.24,10.07,10.15,5077200
2017-04-20,2,,5.0,10.0,10.15,10.30,9.99,10.04,17373900
2017-04-24,2,,5.0,10.0,10.20,10.45,10.02,10.25,20072300
2017-04-25,2,,5.0,10.0,10.25,10.47,10.19,10.47,16695400
2017-04-26,2,,5.0,10.0,10.37,10.50,10.23,10.44,15174100
2017-04-27,2,,5.0,10.0,10.38,10.50,10.29,10.47,10291100
2017-04-28,2,,5.0,10.0,10.45,10.50,10.23,10.27,18064300
2017-05-02,2,,5.0,10.0,10.31,11.06,10.28,11.05,7590400
2017-05-03,1,,5.0,5.0,10.90,11.01,10.81,11.0,6178300
2017-05-04,2,,5.0,10.0,10.96,10.96,10.52,10.64,7032200
2017-05-05,2,,5.0,10.0,10.66,10.78,10.57,10.7,7014000
2017-05-08,2,,7.0,14.0,10.73,10.82,10.62,10.69,5007000
2017-05-09,2,,7.0,14.0,10.77,11.15,10.74,11.05,4659400
2017-05-10,2,,7.0,14.0,11.03,11.45,11.01,11.45,5445100
2017-05-11,2,,7.0,14.0,11.43,11.48,11.20,11.3,4979300
2017-05-12,5,,7.0,35.0,10.75,11.10,10.67,10.97,12682200
2017-05-15,2,,50.0,100.0,10.83,11.05,10.76,10.79,8289800
2017-05-16,3,,50.0,150.0,10.55,10.63,9.86,9.86,24227500
2017-05-17,22,,50.0,1100.0,9.75,9.78,9.50,9.5,19265200
2017-05-18,100,,50.0,5000.0,8.10,8.70,7.63,8.58,32832400
2017-05-19,58,,50.0,2900.0,8.58,8.84,8.41,8.71,24443900
2017-05-22,40,,2.310344827586207,92.41379310344827,8.05,8.05,5.91,5.98,69743500
2017-05-23,26,,2.310344827586207,60.06896551724138,5.95,6.58,5.25,6.55,80598300
2017-05-24,18,,2.310344827586207,41.58620689655172,6.60,6.87,6.37,6.7,38845800
2017-05-25,15,,2.310344827586207,34.6551724137931,6.53,8.29,6.53,8.21,57575100
2017-05-26,13,,2.310344827586207,30.03448275862069,7.80,8.20,7.36,7.71,57461200
2017-05-29,8,,2.75,22.0,8.00,8.15,7.70,7.7,26014300
2017-05-30,7,,2.75,19.25,7.72,7.95,7.35,7.4,19931100
2017-05-31,8,,2.75,22.0,7.90,8.10,7.64,8.07,48586100
2017-06-01,6,,2.75,16.5,8.13,8.64,7.78,7.84,42058200
2017-06-02,5,,2.75,13.75,8.00,8.15,7.43,7.6,23533100
2017-06-05,5,,5.0,25.0,7.57,7.65,7.26,7.29,12728100
2017-06-06,6,,5.0,30.0,7.56,8.03,7.40,7.9,34614800
2017-06-07,5,,5.0,25.0,7.90,8.16,7.64,7.7,21876400
2017-06-08,5,,5.0,25.0,7.53,7.62,7.21,7.48,20551600
2017-06-09,6,,5.0,30.0,7.44,7.50,7.05,7.28,23277000
2017-06-12,4,,4.0,16.0,7.00,7.57,6.96,6.99,35884800
2017-06-13,4,,4.0,16.0,7.18,7.19,6.76,6.8,17072100
2017-06-14,4,,4.0,16.0,6.82,6.95,6.70,6.76,17719600
2017-06-16,4,,4.0,16.0,6.74,7.16,6.58,6.62,29649000
2017-06-19,4,,4.666666666666667,18.666666666666668,6.66,6.71,6.30,6.35,21111200
2017-06-20,5,,4.666666666666667,23.333333333333336,6.50,6.50,5.88,6.01,36568100
2017-06-21,6,,4.666666666666667,28.0,6.00,6.38,5.94,6.33,27462200
2017-06-22,6,,4.666666666666667,28.0,6.41,6.41,6.15,6.34,17776100
2017-06-23,4,,4.666666666666667,18.666666666666668,6.21,6.34,6.18,6.26,18540500
2017-06-26,4,,6.0,24.0,6.32,6.35,6.11,6.18,8377300
2017-06-27,4,,6.0,24.0,6.20,6.23,6.12,6.16,10554400
2017-06-28,4,,6.0,24.0,6.19,6.20,6.09,6.15,9177000
2017-06-29,5,,6.0,30.0,6.18,6.37,6.13,6.3,13515400
2017-06-30,4,,6.0,24.0,6.32,6.69,6.32,6.53,17818500
2017-07-03,44,,0.25806451612903225,11.35483870967742,6.57,6.93,6.45,6.73,18899200
2017-07-04,45,,0.25806451612903225,11.612903225806452,6.73,6.90,6.61,6.61,8253300
